Record ID,Species,Scientific name,Date (Year),Latitude,Longitude,Type,Warmest Quarter Temperature,Coolest Quarter Temperature,Annual Rainfall
204,Numbat,Myrmecobius fasciatus,1995,-34.04406218,116.6309779,contemporary,20.45261,10.27395,594.77893
205,Numbat,Myrmecobius fasciatus,2000,-34.04355459,116.6614346,contemporary,20.58571,10.39037,580.7616
206,Numbat,Myrmecobius fasciatus,2003,-34.03909691,116.6671615,contemporary,20.58571,10.39037,580.7616
207,Numbat,Myrmecobius fasciatus,1995,-34.03828295,116.3320045,contemporary,20.53534,10.43167,666.6759
208,Numbat,Myrmecobius fasciatus,1927,-34.033333,117.633333,historical,20.75941,10.82314,405.97644
209,Numbat,Myrmecobius fasciatus,1936,-34.033333,117.633333,historical,20.75941,10.82314,405.97644
210,Numbat,Myrmecobius fasciatus,1996,-34.03234725,116.5075264,contemporary,20.77755,10.57119,591.854
211,Numbat,Myrmecobius fasciatus,1993,-34.03029599,116.3580643,contemporary,20.35706,10.19516,666.4469
212,Numbat,Myrmecobius fasciatus,2001,-34.02898024,116.3901478,contemporary,20.51712,10.33732,641.91516
213,Numbat,Myrmecobius fasciatus,2001,-34.02689158,116.3908885,contemporary,20.51712,10.33732,641.91516
214,Numbat,Myrmecobius fasciatus,1997,-34.01900107,116.5552701,contemporary,20.7321,10.48778,585.42859
215,Numbat,Myrmecobius fasciatus,2001,-34.00697528,116.6426284,contemporary,20.81948,10.56065,565.11365
216,Numbat,Myrmecobius fasciatus,1994,-34.00434793,116.1265129,contemporary,20.57954,10.59339,767.09985
217,Numbat,Myrmecobius fasciatus,1938,-34,116.1,historical,20.38394,10.40028,788.89154
218,Numbat,Myrmecobius fasciatus,1993,-34,116.5,contemporary,20.69797,10.39449,595.0318
219,Numbat,Myrmecobius fasciatus,2003,-33.99392443,116.5181644,contemporary,20.6393,10.33155,594.71222
220,Numbat,Myrmecobius fasciatus,2002,-33.99255177,116.5791311,contemporary,20.76674,10.44019,574.46338
221,Numbat,Myrmecobius fasciatus,1963,-33.99225981,117.0204317,contemporary,20.51377,10.30456,526.20203
222,Numbat,Myrmecobius fasciatus,2000,-33.99064298,116.6102148,contemporary,20.82789,10.51036,566.17908
223,Numbat,Myrmecobius fasciatus,2005,-33.98859709,116.6049947,contemporary,20.83492,10.51645,567.32684
224,Numbat,Myrmecobius fasciatus,1996,-33.97795179,116.5640146,contemporary,20.85869,10.50891,571.60553
225,Numbat,Myrmecobius fasciatus,2001,-33.97005874,116.5269588,contemporary,20.92902,10.55226,574.70178
226,Numbat,Myrmecobius fasciatus,1938,-33.966667,116.133333,historical,21.02484,10.8891,743.95313
227,Numbat,Myrmecobius fasciatus,1937,-33.966667,116.723611,historical,20.59291,10.23306,563.24249
228,Numbat,Myrmecobius fasciatus,1929,-33.966667,118.483333,historical,20.56181,10.84065,384.88586
229,Numbat,Myrmecobius fasciatus,1993,-33.96649313,115.0201615,contemporary,20.213,12.85059,1029.48645
230,Numbat,Myrmecobius fasciatus,2001,-33.96609942,116.5534999,contemporary,20.96094,10.59053,567.04572
231,Numbat,Myrmecobius fasciatus,1857,-33.94815359,141.9590467,historical,24.35515,11.06771,261.09302
232,Numbat,Myrmecobius fasciatus,1995,-33.933333,116.45,contemporary,21.18268,10.70618,578.53253
233,Numbat,Myrmecobius fasciatus,1993,-33.8782253,116.4582844,contemporary,21.00769,10.37706,584.26215
234,Numbat,Myrmecobius fasciatus,1993,-33.86002266,116.6104309,contemporary,21.12074,10.50252,538.91559
235,Numbat,Myrmecobius fasciatus,1973,-33.8545039,115.7119966,contemporary,20.7937,11.16694,902.67816
236,Numbat,Myrmecobius fasciatus,2005,-33.83640392,116.9989949,contemporary,20.8494,10.3637,500.30176
237,Numbat,Myrmecobius fasciatus,1951,-33.83490215,117.1599974,contemporary,20.82039,10.4215,482.07596
238,Numbat,Myrmecobius fasciatus,1951,-33.83490215,117.1599974,contemporary,20.82039,10.4215,482.07596
239,Numbat,Myrmecobius fasciatus,1952,-33.83490215,117.1599974,contemporary,20.82039,10.4215,482.07596
240,Numbat,Myrmecobius fasciatus,2006,-33.81575531,116.0271508,contemporary,20.60226,10.25684,853.52222
241,Numbat,Myrmecobius fasciatus,2004,-33.76704996,116.2834698,contemporary,21.00341,10.21947,683.34253
242,Numbat,Myrmecobius fasciatus,2002,-33.75181864,116.0405522,contemporary,20.76278,10.25217,848.28986
243,Numbat,Myrmecobius fasciatus,1936,-33.666667,117.05,historical,21.36073,10.60656,461.74429
244,Numbat,Myrmecobius fasciatus,1993,-33.66342136,117.5690994,contemporary,21.24558,10.47864,423.40106
245,Numbat,Myrmecobius fasciatus,1928,-33.633333,117.9,historical,21.39124,10.69144,375.31387
246,Numbat,Myrmecobius fasciatus,1934,-33.633333,117.9,historical,21.39124,10.69144,375.31387
247,Numbat,Myrmecobius fasciatus,1961,-33.61415207,117.9758923,contemporary,21.42829,10.74078,370.72815
248,Numbat,Myrmecobius fasciatus,1972,-33.61090261,120.1630022,contemporary,20.96433,12.09706,424.76407
249,Numbat,Myrmecobius fasciatus,1979,-33.58160416,120.0460018,contemporary,21.10667,12.04102,406.27151
250,Numbat,Myrmecobius fasciatus,1965,-33.56219864,117.4330013,contemporary,21.53214,10.62357,417.37265
251,Numbat,Myrmecobius fasciatus,1954,-33.56211031,117.181503,contemporary,21.65427,10.75461,424.67722
252,Numbat,Myrmecobius fasciatus,1954,-33.5487657,118.1481641,contemporary,21.32944,10.55773,369.70944
253,Numbat,Myrmecobius fasciatus,1928,-33.533333,116.116667,historical,21.74913,10.94172,819.09314
254,Numbat,Myrmecobius fasciatus,1982,-33.44660153,116.3160044,contemporary,21.33682,10.21293,720.40143
255,Numbat,Myrmecobius fasciatus,1983,-33.39599958,116.282003,contemporary,21.5768,10.46038,746.15967
256,Numbat,Myrmecobius fasciatus,1984,-33.39599958,116.282003,contemporary,21.5768,10.46038,746.15967
257,Numbat,Myrmecobius fasciatus,1966,-33.3519021,116.1569985,contemporary,21.56712,10.58745,882.58356
258,Numbat,Myrmecobius fasciatus,2004,-33.34749909,116.4871613,contemporary,21.3565,10.06634,640.82306
259,Numbat,Myrmecobius fasciatus,1981,-33.3362963,116.0779995,contemporary,21.79345,10.97901,933.06659
260,Numbat,Myrmecobius fasciatus,1928,-33.333333,116.733333,historical,21.5734,10.23807,515.41785
261,Numbat,Myrmecobius fasciatus,1929,-33.316667,117.333333,historical,22.01447,10.77064,399.72562
262,Numbat,Myrmecobius fasciatus,1932,-33.316667,117.333333,historical,22.01447,10.77064,399.72562
263,Numbat,Myrmecobius fasciatus,1940,-33.316667,117.333333,historical,22.01447,10.77064,399.72562
264,Numbat,Myrmecobius fasciatus,1940,-33.316667,117.333333,historical,22.01447,10.77064,399.72562
265,Numbat,Myrmecobius fasciatus,1940,-33.316667,117.333333,historical,22.01447,10.77064,399.72562
266,Numbat,Myrmecobius fasciatus,1940,-33.316667,117.333333,historical,22.01447,10.77064,399.72562
267,Numbat,Myrmecobius fasciatus,1940,-33.316667,117.333333,historical,22.01447,10.77064,399.72562
268,Numbat,Myrmecobius fasciatus,1992,-33.31617997,116.4997853,contemporary,21.35969,10.03855,634.54663
269,Numbat,Myrmecobius fasciatus,1967,-33.3125,115.981944,contemporary,21.54723,10.95275,1063.57141
270,Numbat,Myrmecobius fasciatus,1993,-33.30630123,116.5105836,contemporary,21.41112,10.07963,626.91669
271,Numbat,Myrmecobius fasciatus,1968,-33.283333,115.983333,contemporary,21.75259,11.18291,1045.35046
272,Numbat,Myrmecobius fasciatus,1968,-33.283333,115.983333,contemporary,21.75259,11.18291,1045.35046
273,Numbat,Myrmecobius fasciatus,1994,-33.27384393,116.5118386,contemporary,21.49408,10.14202,625.90649
274,Numbat,Myrmecobius fasciatus,1944,-33.25,115.833333,historical,22.45967,12.53445,880.07745
275,Numbat,Myrmecobius fasciatus,1939,-33.233333,116.85,historical,21.83479,10.41467,478.80148
276,Numbat,Myrmecobius fasciatus,1960,-33.22839686,117.9280034,contemporary,22.07977,10.69325,348.20496
277,Numbat,Myrmecobius fasciatus,1963,-33.16700443,115.9519946,contemporary,21.56085,11.06545,1114.12048
278,Numbat,Myrmecobius fasciatus,1970,-33.166667,116,contemporary,21.54578,10.90923,1090.91919
279,Numbat,Myrmecobius fasciatus,1956,-33.15490176,115.9320011,contemporary,21.92604,11.529,1096.21497
280,Numbat,Myrmecobius fasciatus,1929,-33.066667,117.233333,historical,22.10525,10.55583,418.21985
281,Numbat,Myrmecobius fasciatus,1929,-33.033333,116.883333,historical,22.17736,10.54394,480.38419
282,Numbat,Myrmecobius fasciatus,1929,-33.033333,116.883333,historical,22.17736,10.54394,480.38419
283,Numbat,Myrmecobius fasciatus,1929,-33.033333,116.883333,historical,22.17736,10.54394,480.38419
284,Numbat,Myrmecobius fasciatus,1929,-33.033333,116.883333,historical,22.17736,10.54394,480.38419
285,Numbat,Myrmecobius fasciatus,1929,-33.033333,116.883333,historical,22.17736,10.54394,480.38419
286,Numbat,Myrmecobius fasciatus,1937,-33.033333,116.883333,historical,22.17736,10.54394,480.38419
287,Numbat,Myrmecobius fasciatus,1937,-33.033333,116.883333,historical,22.17736,10.54394,480.38419
288,Numbat,Myrmecobius fasciatus,1937,-33.033333,116.883333,historical,22.17736,10.54394,480.38419
289,Numbat,Myrmecobius fasciatus,1937,-33.033333,116.883333,historical,22.17736,10.54394,480.38419
290,Numbat,Myrmecobius fasciatus,1937,-33.033333,116.883333,historical,22.17736,10.54394,480.38419
291,Numbat,Myrmecobius fasciatus,2004,-32.96139722,117.1922944,contemporary,22.02601,10.35904,448.26743
292,Numbat,Myrmecobius fasciatus,1997,-32.94076376,116.4559106,contemporary,21.49295,9.9446,707.961
293,Numbat,Myrmecobius fasciatus,1937,-32.93510274,117.1770025,historical,21.99813,10.31358,456.66006
294,Numbat,Myrmecobius fasciatus,1964,-32.93510274,117.1770025,contemporary,21.99813,10.31358,456.66006
295,Numbat,Myrmecobius fasciatus,1969,-32.93510274,117.1770025,contemporary,21.99813,10.31358,456.66006
296,Numbat,Myrmecobius fasciatus,1929,-32.933333,117.183333,historical,22.05496,10.35328,452.04404
297,Numbat,Myrmecobius fasciatus,1936,-32.933333,117.183333,historical,22.05496,10.35328,452.04404
298,Numbat,Myrmecobius fasciatus,1941,-32.933333,117.183333,historical,22.05496,10.35328,452.04404
299,Numbat,Myrmecobius fasciatus,1943,-32.933333,117.183333,historical,22.05496,10.35328,452.04404
300,Numbat,Myrmecobius fasciatus,1943,-32.933333,117.183333,historical,22.05496,10.35328,452.04404
301,Numbat,Myrmecobius fasciatus,1943,-32.933333,117.183333,historical,22.05496,10.35328,452.04404
302,Numbat,Myrmecobius fasciatus,1943,-32.933333,117.183333,historical,22.05496,10.35328,452.04404
303,Numbat,Myrmecobius fasciatus,1943,-32.933333,117.183333,historical,22.05496,10.35328,452.04404
304,Numbat,Myrmecobius fasciatus,1944,-32.933333,117.183333,historical,22.05496,10.35328,452.04404
305,Numbat,Myrmecobius fasciatus,1989,-32.933333,117.183333,contemporary,22.05496,10.35328,452.04404
306,Numbat,Myrmecobius fasciatus,1935,-32.9,117.2,historical,21.95692,10.18933,449.27811
307,Numbat,Myrmecobius fasciatus,1935,-32.9,117.2,historical,21.95692,10.18933,449.27811
308,Numbat,Myrmecobius fasciatus,2000,-32.89222553,116.9777824,contemporary,21.82509,10.02423,490.97894
309,Numbat,Myrmecobius fasciatus,1963,-32.86900274,117.5019963,contemporary,22.27694,10.34714,372.42786
310,Numbat,Myrmecobius fasciatus,1964,-32.866667,116.966667,contemporary,22.23052,10.40267,470.70804
311,Numbat,Myrmecobius fasciatus,1980,-32.85800074,115.9480024,contemporary,22.66994,12.31636,975.54626
312,Numbat,Myrmecobius fasciatus,1954,-32.83211709,115.911502,contemporary,22.98072,12.84294,907.16681
313,Numbat,Myrmecobius fasciatus,1954,-32.81710386,117.1781462,contemporary,22.26327,10.37969,432.76761
314,Numbat,Myrmecobius fasciatus,2007,-32.81313161,116.9263347,contemporary,22.1315,10.19369,483.0209
315,Numbat,Myrmecobius fasciatus,1996,-32.80710095,117.9681612,contemporary,22.39681,10.26951,352.47021
316,Numbat,Myrmecobius fasciatus,2007,-32.80570131,116.9162576,contemporary,22.17666,10.23675,481.89557
317,Numbat,Myrmecobius fasciatus,1960,-32.80389933,116.4710051,contemporary,22.28146,10.61349,640.95728
318,Numbat,Myrmecobius fasciatus,1995,-32.80044836,116.9431568,contemporary,22.24642,10.29997,472.96402
319,Numbat,Myrmecobius fasciatus,1964,-32.8,116.883333,contemporary,22.34617,10.38521,476.7149
320,Numbat,Myrmecobius fasciatus,1995,-32.79452297,117.4364404,contemporary,21.95908,9.92187,403.68027
321,Numbat,Myrmecobius fasciatus,2007,-32.79220114,116.922016,contemporary,22.11232,10.14247,484.29358
322,Numbat,Myrmecobius fasciatus,2001,-32.789444,116.9450006,contemporary,22.18732,10.22377,476.44366
323,Numbat,Myrmecobius fasciatus,2007,-32.7887667,116.943303,contemporary,22.18732,10.22377,476.44366
324,Numbat,Myrmecobius fasciatus,2007,-32.78570031,116.9717967,contemporary,22.26914,10.3156,466.77802
325,Numbat,Myrmecobius fasciatus,2004,-32.78560156,116.9739966,contemporary,22.26914,10.3156,466.77802
326,Numbat,Myrmecobius fasciatus,2007,-32.78557407,116.9719996,contemporary,22.26914,10.3156,466.77802
327,Numbat,Myrmecobius fasciatus,1965,-32.783333,116.966667,contemporary,22.17601,10.20148,473.77432
328,Numbat,Myrmecobius fasciatus,1965,-32.783333,116.966667,contemporary,22.17601,10.20148,473.77432
329,Numbat,Myrmecobius fasciatus,1965,-32.783333,116.966667,contemporary,22.17601,10.20148,473.77432
330,Numbat,Myrmecobius fasciatus,1965,-32.783333,116.966667,contemporary,22.17601,10.20148,473.77432
331,Numbat,Myrmecobius fasciatus,1966,-32.783333,116.966667,contemporary,22.17601,10.20148,473.77432
332,Numbat,Myrmecobius fasciatus,1968,-32.783333,116.966667,contemporary,22.17601,10.20148,473.77432
333,Numbat,Myrmecobius fasciatus,1968,-32.783333,116.966667,contemporary,22.17601,10.20148,473.77432
334,Numbat,Myrmecobius fasciatus,1968,-32.783333,116.966667,contemporary,22.17601,10.20148,473.77432
335,Numbat,Myrmecobius fasciatus,1968,-32.783333,116.966667,contemporary,22.17601,10.20148,473.77432
336,Numbat,Myrmecobius fasciatus,1984,-32.783333,116.966667,contemporary,22.17601,10.20148,473.77432
337,Numbat,Myrmecobius fasciatus,1989,-32.783333,116.966667,contemporary,22.17601,10.20148,473.77432
338,Numbat,Myrmecobius fasciatus,1989,-32.783333,116.966667,contemporary,22.17601,10.20148,473.77432
339,Numbat,Myrmecobius fasciatus,1990,-32.783333,116.966667,contemporary,22.17601,10.20148,473.77432
340,Numbat,Myrmecobius fasciatus,1990,-32.783333,116.966667,contemporary,22.17601,10.20148,473.77432
341,Numbat,Myrmecobius fasciatus,2007,-32.78021476,116.9254115,contemporary,22.13565,10.15014,482.91125
342,Numbat,Myrmecobius fasciatus,2007,-32.77744409,116.939701,contemporary,22.08964,10.1085,482.33322
343,Numbat,Myrmecobius fasciatus,2007,-32.77665168,116.9255533,contemporary,22.13565,10.15014,482.91125
344,Numbat,Myrmecobius fasciatus,1971,-32.776389,116.972222,contemporary,22.26023,10.28996,467.13828
345,Numbat,Myrmecobius fasciatus,2007,-32.77589389,116.9425958,contemporary,22.08964,10.1085,482.33322
346,Numbat,Myrmecobius fasciatus,2007,-32.77533407,116.9414322,contemporary,22.08964,10.1085,482.33322
347,Numbat,Myrmecobius fasciatus,2007,-32.77355838,116.9444658,contemporary,22.08964,10.1085,482.33322
348,Numbat,Myrmecobius fasciatus,2007,-32.76723533,116.9454734,contemporary,22.14099,10.14444,479.19269
349,Numbat,Myrmecobius fasciatus,2007,-32.76718048,116.9438185,contemporary,22.14099,10.14444,479.19269
350,Numbat,Myrmecobius fasciatus,2001,-32.766667,116.966667,contemporary,22.08956,10.0971,478.90369
351,Numbat,Myrmecobius fasciatus,2007,-32.76597013,116.9404027,contemporary,22.14099,10.14444,479.19269
352,Numbat,Myrmecobius fasciatus,2007,-32.76556428,116.9405845,contemporary,22.14099,10.14444,479.19269
353,Numbat,Myrmecobius fasciatus,2007,-32.76522078,116.93909,contemporary,22.14099,10.14444,479.19269
354,Numbat,Myrmecobius fasciatus,2007,-32.76425353,116.9350336,contemporary,22.15928,10.16048,479.78607
355,Numbat,Myrmecobius fasciatus,2008,-32.76338889,117.0349472,contemporary,22.30696,10.3187,453.90771
356,Numbat,Myrmecobius fasciatus,2007,-32.76089759,116.9550537,contemporary,22.14924,10.13906,476.94916
357,Numbat,Myrmecobius fasciatus,1973,-32.75740392,118.6770042,contemporary,22.90602,10.7438,332.78912
358,Numbat,Myrmecobius fasciatus,2008,-32.75481593,116.9505197,contemporary,22.14924,10.13906,476.94916
359,Numbat,Myrmecobius fasciatus,2008,-32.75384176,116.9506804,contemporary,22.14924,10.13906,476.94916
360,Numbat,Myrmecobius fasciatus,2007,-32.7536491,116.9687003,contemporary,22.27184,10.26864,466.15652
361,Numbat,Myrmecobius fasciatus,1954,-32.75,116.9166667,contemporary,22.22719,10.19228,479.20911
362,Numbat,Myrmecobius fasciatus,1983,-32.7499991,118.6249949,contemporary,22.99625,10.81408,330.08307
363,Numbat,Myrmecobius fasciatus,1965,-32.74340059,117.175,contemporary,22.56343,10.54843,413.96719
364,Numbat,Myrmecobius fasciatus,1979,-32.73839996,117.1639967,contemporary,22.58587,10.57318,414.48953
365,Numbat,Myrmecobius fasciatus,1981,-32.73839996,117.1639967,contemporary,22.58587,10.57318,414.48953
366,Numbat,Myrmecobius fasciatus,1984,-32.72919934,116.0610045,contemporary,22.18459,11.31097,1087.3595
367,Numbat,Myrmecobius fasciatus,2001,-32.71860859,117.2011063,contemporary,22.56377,10.50695,407.88876
368,Numbat,Myrmecobius fasciatus,1972,-32.71043867,116.064818,contemporary,22.04115,11.12978,1120.97339
369,Numbat,Myrmecobius fasciatus,1999,-32.70719967,118.9439557,contemporary,22.55583,10.31646,352.96588
370,Numbat,Myrmecobius fasciatus,1926,-32.7,117.1,historical,22.46872,10.38843,430.45993
371,Numbat,Myrmecobius fasciatus,1927,-32.7,117.1,historical,22.46872,10.38843,430.45993
372,Numbat,Myrmecobius fasciatus,1927,-32.7,117.1,historical,22.46872,10.38843,430.45993
373,Numbat,Myrmecobius fasciatus,1927,-32.7,117.1,historical,22.46872,10.38843,430.45993
